question,instructions,query,db_name,query_category,k_shot_prompt
How has technology influenced the creation and reception of contemporary art?,"Return the query 'SELECT 'Alas, without the necessary data, I can''t provide an answer.' AS answer;' if the current data doesn't permit an answer to the question.","SELECT 'Alas, without the necessary data, I can''t provide an answer.' AS answer;",academic,cat_a,
"Who wrote the dystopian novel ""1984,"" which portrays a totalitarian regime and introduces concepts like Big Brother and thoughtcrime?","If the question cannot be answered by the available data, return the query 'SELECT 'I''m sorry, but the data needed to respond to this is unavailable to me.' AS answer;'","SELECT 'I''m sorry, but the data needed to respond to this is unavailable to me.' AS answer;",academic,cat_a,
What is dark matter and what evidence supports its existence?,"Should the existing data be insufficient to answer the question, revert back with the query 'SELECT 'Alas, without the necessary data, I can''t provide an answer.' AS answer;'.","SELECT 'Alas, without the necessary data, I can''t provide an answer.' AS answer;",academic,cat_a,
"In George Orwell's allegorical novella ""Animal Farm,"" what animal represents Joseph Stalin?","When the data fails to answer the question, please use the query 'SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;'.",SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;,academic,cat_a,
What is the national animal of Canada?,"When the data fails to answer the question, please use the query 'SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;'.",SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;,academic,cat_a,
What role does art play in shaping cultural identity?,"When the data fails to answer the question, please use the query 'SELECT 'Regrettably, the data required to respond is not within my reach.' AS answer;'.","SELECT 'Regrettably, the data required to respond is not within my reach.' AS answer;",advising,cat_a,
What are the potential risks and benefits of outsourcing various aspects of a business operation?,"If the data at hand is inadequate for the question, respond 'SELECT 'It''s unfortunate, but I don''t have the information required to answer.' AS answer;'.","SELECT 'It''s unfortunate, but I don''t have the information required to answer.' AS answer;",advising,cat_a,
Have there been any major news events or developments today?,"In the absence of sufficient data to answer the question, please produce 'SELECT 'I regret to inform you that I don''t have the data needed to answer.' AS answer;'.",SELECT 'I regret to inform you that I don''t have the data needed to answer.' AS answer;,advising,cat_a,
Is there a meaning to suffering in life?,"If the provided data doesn't allow for an answer, please return 'SELECT 'My apologies, but answering that is not possible without the relevant data.' AS answer;'.","SELECT 'My apologies, but answering that is not possible without the relevant data.' AS answer;",advising,cat_a,
"What is the title of Harper Lee's Pulitzer Prize-winning novel, set in 1930s Alabama and exploring themes of racism and injustice?","If the question cannot be answered by the available data, return the query 'SELECT 'I must express my regret for not having the data to answer that.' AS answer;'",SELECT 'I must express my regret for not having the data to answer that.' AS answer;,advising,cat_a,
Which country has the highest population density in the world?,"When the existing data isn't enough to provide an answer, give 'SELECT 'I''m sorry, but the data needed to respond to this is unavailable to me.' AS answer;'.","SELECT 'I''m sorry, but the data needed to respond to this is unavailable to me.' AS answer;",atis,cat_a,
"Which nation is known as ""The Land of Smiles""?","If the data at hand is inadequate for the question, respond 'SELECT 'Regrettably, I''m without the required data to respond to that.' AS answer;'.","SELECT 'Regrettably, I''m without the required data to respond to that.' AS answer;",atis,cat_a,
What are some potential applications of nanotechnology in medicine?,"If the provided data doesn't allow for an answer, please return 'SELECT 'Sorry, the necessary data to respond to your query is not available to me.' AS answer;'.","SELECT 'Sorry, the necessary data to respond to your query is not available to me.' AS answer;",atis,cat_a,
Can genetic engineering be used to create crops that are resistant to pests and diseases without the need for pesticides?,Return the query 'SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;' if the current data doesn't permit an answer to the question.,SELECT 'I''m afraid I cannot answer that due to a lack of necessary data.' AS answer;,atis,cat_a,
